participant_id, baseline_P1, baseline_P2, monitor_P2, monitor_P2, oculus_P1, oculus_P2
5, 10, 5, 9, 5, 10, 5,
7, 10, 5, 10, 5, 10, 5,
8, 3, 3, 10, 5, 8, 5,
9, 10, 5, 10, 5, 9, 5,
11, 8, 4, 10, 5, 9, 4,
12, 10, 5, 10, 4, 10, 4,
13, 10, 5, 10, 5, 9, 5,
14, 8, 5, 10, 4, 10, 5,
15, 10, 5, 10, 5, 10, 5,
16, 8, 2, 10, 5, 8, 5,
17, 9, 4, 10, 5, 10, 5,
18, 10, 5, 10, 5, 10, 5,
19, 10, 5, 9, 5, 10, 4,
20, 9, 4, 10, 5, 7, 4,
21, 9, 4, 10, 5, 10, 5,
22, 6, 4, 10, 5, 8, 5,
23, 9, 5, 10, 5, 10, 5,
24, 8, 5, 10, 5, 10, 5,
25, 8, 5, 10, 5, 10, 4,
26, 10, 5, 10, 5, 10, 5,
